_input,_num,_widgetName,_source,_resultNumber,_pageUrl,description,date,city,parish,county
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Suffolk|,1,Scroll of Extraction,Scroll of Extraction,1,http://witching.org/brimstone/detail.php?mode=county&county=Suffolk,Mother Lakeland is burned to death on September 9 1645. She is condemned for murdering her husband and for several others by witchcraft.(8) Appears in: Lakeland Mother. The Laws Against Witches and Conjuration. London: 1645 8,1645 September 9,Ipswich,Ipswich; Gippeswick,Suffolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,2,Scroll of Extraction,Scroll of Extraction,1,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Francis alleges in her confession that after Andrew Byles was dead she discovered she was pregnant with his child. She appealed to Sathan her familiar for advice on how to abort it and he instructed her to "take a certayne herbe and drinke it." She did and it "destroyed the childe forthwyth." (9 11) Appears in: Phillips John. The Examination and Confession of Certain Witches. London: 1566 9 11,1545,Hatfield Peverel,Hatfield Peverel,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,373,Scroll of Extraction,Scroll of Extraction,1,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Annis Dell is executed at the Hartford Assizes in Hertfordshire on August 41606 after being found guilty of murdering Anthony James Jr. and for mutilating Elizabeth James by cutting out her tongue. (19-20) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 19-20,1606 August 4,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,396,Scroll of Extraction,Scroll of Extraction,1,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,Cicely Balye criticized Mary Smith for doing an inadequate job sweeping. In retribution Smith called Bayle "a great fattail'd sow" but promised that her "fatnesse should shortly be pulled." (57) Appears in: Holland Henry. A Treatise Against Witchcraft. Cambridge: 1590 57,1616,,,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,428,Scroll of Extraction,Scroll of Extraction,1,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Jane Throckmorton falls "uppon the sodaine into a strange kinde of sickenes and distemperature of body" which causes her to sneeze continually for half an hour fall into a trance in which her belly swells and heaves or shakes her leg or arm as if palsied.(3-4) Appears in: Anonymous. The Most Strange and Admirable Discouerie of the Three Witches of Warboys . Unknown: 1593 3-4,1589 November 10,Warboys,Warboys,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,3,Scroll of Extraction,Scroll of Extraction,2,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Francis alleges in her confession that her marriage to Christopher Francis was filled with "much vnquietnes and [was] moued to swearing and cursinge." Desiring to remedy their relationship Elizabeth asks Sathan to kill their daughter now a year and a half old. This however did not bring Francis "the quietnes that she desyred."(9 11-12) Appears in: Phillips John. The Examination and Confession of Certain Witches. London: 1566 9 11-12,1548,Hatfield Peverel,Hatfield Peverel,Essex
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire|,374,Scroll of Extraction,Scroll of Extraction,2,http://witching.org/brimstone/detail.php?mode=county&county=Huntingdonshire,Johane Harrison is tried for witchcraft in Hertfordshire in August 1606.(18) Appears in: Anonymous. The Most Cruel and Bloody Murder Committed by an Inkeepers wife called Annis Dell and her Son George Dell. London: 1606 18,1606 August 4,Hartford,,Huntingdonshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Norfolk|,397,Scroll of Extraction,Scroll of Extraction,2,http://witching.org/brimstone/detail.php?mode=county&county=Norfolk,A woman who appears like a gentlewoman (Anonymous 22) destroys stores of beer and kills three hogs through witchcraft after being denied bacon and beer by a maidservant. (2-3) Appears in: Anonymous. Signs and Wonders from Heaven. With a True Relation of a Monster Born in Radcliffe Highway. London: 1645 2-3,1644 July 30,Soffam; Swaffham,Soffam; Swaffham,Norfolk
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire|,429,Scroll of Extraction,Scroll of Extraction,2,http://witching.org/brimstone/detail.php?mode=county&county=Cambridgeshire,Elizabeth Weed alleges in her examination before Justices Robert Bernard and Nicholas Pedley that the Devil had appeared to her in the form of a young man 21 years before along with two spirits in the form of puppies. The Devil asked her to renounce God and Christ which she did and told her she must sign a covenant giving him her soul at the end of 21 years. In exchange he would give her his services to do mischief as she required him.(1-2) Appears in: Davenport John. The Witches of Huntingdon. London: 1646 1-2,1625,Catworth,Catworth,Cambridgeshire
webpage/url:http://witching.org/brimstone/detail.php?mode=county&county=Essex|,4,Scroll of Extraction,Scroll of Extraction,3,http://witching.org/brimstone/detail.php?mode=county&county=Essex,Elizabeth Francis alleges in her confession that she instructed Sathan to lame her husband Christopher Francis when their relationship remained unsatisfactory following the death of their daughter. Sathan did so by lying in Christopher's shoe in the shape of a toad for him to discover with his toes. Christopher amazed by the toad asked Elizabeth what it was and she told him to kill it. When he did he was struck with "a lamenes wherof he can not healed."(9 11-12) Appears in: Phillips John. The Examination and Confession of Certain Witches. London: 1566 9 11-12,1548,Hatfield Peverel,Hatfield Peverel,Essex
